provincia,poblacion,codigopostalid,lat,lon
Araba/Álava,Alegría-Dulantzi,1193,"-2,712,437,310","42,939,811,580"
Araba/Álava,Amurrio,1450,"-3,000,073,260","43,054,277,760"
Araba/Álava,Amurrio,1468,"-3,000,073,260","43,054,277,760"
Araba/Álava,Amurrio,1470,"-3,000,073,260","43,054,277,760"
Araba/Álava,Aramaio,1160,"-2,565,400,370","43,051,196,530"
Araba/Álava,Aramaio,1165,"-2,565,400,370","43,051,196,530"
Araba/Álava,Aramaio,1169,"-2,565,400,370","43,051,196,530"
Araba/Álava,Artziniega,1474,"-3,127,917,180","43,120,843,580"
Araba/Álava,Artziniega,1478,"-3,127,917,180","43,120,843,580"
Araba/Álava,Armiñón,1211,"-2,871,834,750","42,723,261,990"
Araba/Álava,Armiñón,1220,"-2,871,834,750","42,723,261,990"
Araba/Álava,Arratzua-Ubarrundia,1510,"-2,638,788,160","42,891,161,710"
Araba/Álava,Arratzua-Ubarrundia,1520,"-2,638,788,160","42,891,161,710"
Araba/Álava,Asparrena,1208,"-2,316,707,540","42,889,687,680"
Araba/Álava,Asparrena,1250,"-2,316,707,540","42,889,687,680"
Araba/Álava,Asparrena,1260,"-2,316,707,540","42,889,687,680"
Araba/Álava,Ayala/Aiara,1408,"-3,043,067,460","43,077,682,830"
Araba/Álava,Ayala/Aiara,1470,"-3,043,067,460","43,077,682,830"
Araba/Álava,Ayala/Aiara,1476,"-3,043,067,460","43,077,682,830"
Araba/Álava,Ayala/Aiara,1477,"-3,043,067,460","43,077,682,830"
Araba/Álava,Ayala/Aiara,1478,"-3,043,067,460","43,077,682,830"
Araba/Álava,Ayala/Aiara,1479,"-3,043,067,460","43,077,682,830"
Araba/Álava,Baños de Ebro/Mañueta,1307,"-2,678,635,830","42,529,256,020"
Araba/Álava,Barrundia,1206,"-2,494,074,520","42,915,375,380"
Araba/Álava,Barrundia,1208,"-2,494,074,520","42,915,375,380"
Araba/Álava,Berantevilla,1211,"-2,859,714,140","42,682,271,910"
Araba/Álava,Berantevilla,1212,"-2,859,714,140","42,682,271,910"
Araba/Álava,Berantevilla,1220,"-2,859,714,140","42,682,271,910"
Araba/Álava,Bernedo,1118,"-2,498,254,390","42,626,769,890"
Araba/Álava,Bernedo,1128,"-2,498,254,390","42,626,769,890"
Araba/Álava,Bernedo,1194,"-2,498,254,390","42,626,769,890"
Araba/Álava,Bernedo,1216,"-2,498,254,390","42,626,769,890"
Araba/Álava,Campezo/Kanpezu,1110,"-2,352,076,930","42,669,712,090"
Araba/Álava,Campezo/Kanpezu,1117,"-2,352,076,930","42,669,712,090"
Araba/Álava,Campezo/Kanpezu,1128,"-2,352,076,930","42,669,712,090"
Araba/Álava,Zigoitia,1138,"-2,730,330,020","42,962,106,090"
Araba/Álava,Zigoitia,1196,"-2,730,330,020","42,962,106,090"
Araba/Álava,Kripan,1308,"-2,516,216,360","42,590,824,390"
Araba/Álava,Kuartango,1430,"-2,884,382,430","42,870,064,110"
Araba/Álava,Kuartango,1439,"-2,884,382,430","42,870,064,110"
Araba/Álava,Elburgo/Burgelu,1192,"-2,546,018,150","42,849,405,750"
Araba/Álava,Elburgo/Burgelu,1193,"-2,546,018,150","42,849,405,750"
Araba/Álava,Elciego,1340,"-2,617,238,720","42,514,207,380"
Araba/Álava,Elvillar/Bilar,1309,"-2,544,412,670","42,568,425,770"
Araba/Álava,Iruraiz-Gauna,1193,"-2,473,965,490","42,831,085,710"
Araba/Álava,Iruraiz-Gauna,1206,"-2,473,965,490","42,831,085,710"
Araba/Álava,Iruraiz-Gauna,1207,"-2,473,965,490","42,831,085,710"
Araba/Álava,Labastida/Bastida,1012,"-2,792,887,050","42,590,761,050"
Araba/Álava,Labastida/Bastida,1212,"-2,792,887,050","42,590,761,050"
Araba/Álava,Labastida/Bastida,1330,"-2,792,887,050","42,590,761,050"
Araba/Álava,Lagrán,1118,"-2,584,233,770","42,626,214,640"
Araba/Álava,Lagrán,1211,"-2,584,233,770","42,626,214,640"
Araba/Álava,Laguardia,1300,"-2,584,116,930","42,552,366,550"
Araba/Álava,Laguardia,1308,"-2,584,116,930","42,552,366,550"
Araba/Álava,Laguardia,1309,"-2,584,116,930","42,552,366,550"
Araba/Álava,Laguardia,1321,"-2,584,116,930","42,552,366,550"
Araba/Álava,Lanciego/Lantziego,1308,"-2,512,781,620","42,562,441,600"
Araba/Álava,Lapuebla de Labarca,1306,"-2,572,090,010","42,494,414,680"
Araba/Álava,Leza,1309,"-2,634,594,280","42,564,696,870"
Araba/Álava,Laudio/Llodio,1400,"-2,962,564,950","43,142,518,800"
Araba/Álava,Arraia-Maeztu,1120,"-2,446,638,720","42,740,002,170"
Araba/Álava,Arraia-Maeztu,1128,"-2,446,638,720","42,740,002,170"
Araba/Álava,Arraia-Maeztu,1129,"-2,446,638,720","42,740,002,170"
Araba/Álava,Moreda de Álava/Moreda Araba,1322,"-2,408,417,180","42,524,791,670"
Araba/Álava,Navaridas,1309,"-2,624,795,440","42,545,059,400"
Araba/Álava,Okondo,1409,"-3,019,026,823","43,161,551,300"
Araba/Álava,Oyón-Oion,1320,"-2,437,755,850","42,506,261,620"
Araba/Álava,Oyón-Oion,1322,"-2,437,755,850","42,506,261,620"
Araba/Álava,Peñacerrada-Urizaharra,1211,"-2,714,028,210","42,644,175,120"
Araba/Álava,Peñacerrada-Urizaharra,1212,"-2,714,028,210","42,644,175,120"
Araba/Álava,Peñacerrada-Urizaharra,1216,"-2,714,028,210","42,644,175,120"
Araba/Álava,Erriberagoitia/Ribera Alta,1213,"-2,910,806,420","42,800,746,820"
Araba/Álava,Erriberagoitia/Ribera Alta,1220,"-2,910,806,420","42,800,746,820"
Araba/Álava,Erriberagoitia/Ribera Alta,1420,"-2,910,806,420","42,800,746,820"
